ecosystem,packageName,requestedVersion,version,name,displayName,description,recipeCount,category1,category2,category3,category4,category5,category6,category1Description,category2Description,category3Description,category4Description,category5Description,category6Description,options,dataTables
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.AddImport,Add import,Add an `import` statement to a Go compilation unit. No-op if the import is already present in a compatible form.,1,,,,,,Go,,,,,,Recipes to search and transform Go.,"[{""name"":""packagePath"",""type"":""String"",""displayName"":""Package path"",""description"":""The import path to add."",""example"":""fmt"",""required"":true},{""name"":""onlyIfReferenced"",""type"":""Boolean"",""displayName"":""Only if referenced"",""description"":""When true, add the import only if some identifier in the file already references the package via type attribution."",""value"":false}]",
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.ChangeMethodName,Change method name,Rename method invocations matching a method pattern.,1,,,,,,Go,,,,,,Recipes to search and transform Go.,"[{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A method pattern to match method invocations."",""example"":""fmt.Println(..)"",""required"":true},{""name"":""newMethodName"",""type"":""String"",""displayName"":""New method name"",""description"":""The new name for the method."",""example"":""Printf"",""required"":true}]",
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.ChangeType,Change type,Change a Go type reference from one fully qualified name to another.,1,,,,,,Go,,,,,,Recipes to search and transform Go.,"[{""name"":""oldFullyQualifiedTypeName"",""type"":""String"",""displayName"":""Old fully qualified type name"",""description"":""The fully qualified Go type name to replace."",""example"":""github.com/old/pkg.MyType"",""required"":true},{""name"":""newFullyQualifiedTypeName"",""type"":""String"",""displayName"":""New fully qualified type name"",""description"":""The fully qualified Go type name to use instead."",""example"":""github.com/new/pkg.MyType"",""required"":true}]",
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.OrderImports,Order imports,"Sort `import` lines into stdlib / third-party / local groups. Within each group, entries are alphabetized; non-empty groups are separated by a blank line. Mirrors `goimports -w`. Local detection uses the sibling go.mod's module path.",1,,,,,,Go,,,,,,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.RemoveImport,Remove import,"Remove an `import` statement from a Go compilation unit. Matches by import path; any form (regular, aliased, dot, blank) is removed.",1,,,,,,Go,,,,,,Recipes to search and transform Go.,"[{""name"":""packagePath"",""type"":""String"",""displayName"":""Package path"",""description"":""The import path to remove."",""example"":""fmt"",""required"":true}]",
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.RemoveUnusedImports,Remove unused imports,Remove imports for packages that are not referenced by any identifier in the file. Blank (`_`) imports are preserved.,1,,,,,,Go,,,,,,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.RenamePackage,Rename package,"Rename a Go package across a project — rewrites the `package` declaration in files that own the package, and rewrites import paths in every file that references it.",1,,,,,,Go,,,,,,Recipes to search and transform Go.,"[{""name"":""oldPackagePath"",""type"":""String"",""displayName"":""Old package path"",""description"":""The fully qualified package path to rename."",""example"":""github.com/old/foo"",""required"":true},{""name"":""newPackagePath"",""type"":""String"",""displayName"":""New package path"",""description"":""The fully qualified package path to use instead."",""example"":""github.com/new/foo"",""required"":true}]",
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AddExportedFuncComment,Add exported func comment,Add a stub doc comment to exported functions and methods that lack one.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AllBranchesIdentical,Remove if/else with identical branches,"Replace an if/else chain where every branch has the same body with just the body, since the conditions have no effect on the outcome.",1,,,,Redundancy,Code quality,Go,,,,Remove redundant code,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AllocateMapOutsideLoop,Allocate map outside loop,Hoist `make(map[...]...)` calls out of for/range loops and clear the map each iteration.,1,,,,Performance,Code quality,Go,,,,Performance optimizations,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AllocateOutsideLoop,Allocate outside loop,Find `new()` calls inside for/range loops. Repeated heap allocations in loops add GC pressure; consider reusing the object.,1,,,,Performance,Code quality,Go,,,,Performance optimizations,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditBindAllInterfaces,Audit binding to all interfaces,"Find network listeners bound to all interfaces (e.g. `:8080`, `0.0.0.0`, `[::]`). This exposes the service beyond loopback and may be unintended; prefer an explicit host such as `127.0.0.1` (gosec G102).",1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditChannelClose,Audit channel close,"Find calls to the built-in `close()` function. Channels should only be closed by the sender, and double-closing causes a panic.",1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditContextBackground,Audit context.Background,Find calls to `context.Background()`. Consider using a context passed from the caller instead.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditErrorStringFormat,Audit error string format,"Find `errors.New` and `fmt.Errorf` messages that are capitalized or end with punctuation. Error strings are often embedded in a larger message, so they should not be capitalized or end with punctuation (staticcheck ST1005).",1,,,,Error handling,Code quality,Go,,,,Error handling best practices,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditExecCommand,Audit exec.Command calls,"Find calls to `exec.Command()`. If arguments come from user input, this is a potential command injection vulnerability.",1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditGoroutineClosure,Audit goroutine closure,Find `go func() { ... }()` patterns. Goroutines with closures can inadvertently capture loop variables.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditHttpRedirect,Audit HTTP redirect,Find calls to `http.Redirect`. Review redirect targets to ensure they are validated and status codes are appropriate.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditJsonNumber,Audit json.Number,Find usage of `json.Number`. json.Number should be used carefully as it can lead to unexpected behavior when converting between numeric types.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditJsonRawMessage,Audit json.RawMessage,Find usage of `json.RawMessage`. RawMessage defers JSON parsing and should be reviewed to ensure deferred parsing is handled correctly.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditMultipleErrorWraps,Replace extra %w verbs with %v in fmt.Errorf,Replace all but the first `%w` with `%v` in `fmt.Errorf` format strings. Multiple error wrapping is invalid in Go < 1.20 and rare in later versions.,1,,,,Error handling,Code quality,Go,,,,Error handling best practices,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditMustFunction,Audit Must* function calls,"Find calls to functions named `Must*` or `must*`, which typically panic on error.",1,,,,Error handling,Code quality,Go,,,,Error handling best practices,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditRecover,Audit recover() calls,"Find calls to the built-in `recover()` function, which catches panics and signals unusual control flow.",1,,,,Error handling,Code quality,Go,,,,Error handling best practices,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditTestFatal,Audit test fatal,Find `t.Fatal()` and `t.Fatalf()` calls. These abort the test immediately and panic when called from a goroutine other than the test function's goroutine.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditTestMain,Audit TestMain,Find `func TestMain(m *testing.M)` declarations. TestMain overrides the default test execution for the entire package.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AuditYamlUnmarshal,Audit yaml.Unmarshal,Find calls to `yaml.Unmarshal()`. YAML parsing should validate input carefully to avoid unexpected behavior from untrusted data.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidChannelLenCheck,Avoid channel length check,Find comparisons on channel length such as `len(ch) == 0`. These are almost always racy because the length can change between the check and the next operation.,1,,,,Simplification,Code quality,Go,,,,Simplify expressions and patterns,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidContextWithValue,Avoid context.WithValue,Find calls to `context.WithValue()`. Context values are an anti-pattern for passing dependencies; prefer explicit function parameters.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidDeferInLoop,Avoid defer in loop,Wrap loop bodies containing `defer` in an immediately-invoked function literal so deferred calls run per iteration.,1,,,,Performance,Code quality,Go,,,,Performance optimizations,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidDotImport,Avoid dot imports,"Remove the dot alias from `import . ""pkg""`, converting to a normal import and re-qualifying references (e.g. `Println` to `fmt.Println`).",1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidEmptyInterfaceParam,Avoid empty interface parameters,Replace `interface{}` parameter types with `any` (Go 1.18+).,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidFmtInLoop,Avoid fmt in loop,"Find `fmt.Sprintf`, `fmt.Sprint`, or `fmt.Fprintf` calls inside for/range loops. These allocate on every call; prefer direct string operations or strconv.",1,,,,Performance,Code quality,Go,,,,Performance optimizations,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidFormatStringVariable,Avoid format string variable,Find calls like `fmt.Sprintf(variable)` where the format string is not a literal. This is a potential format string vulnerability.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidGlobalVariable,Avoid global variables,Find package-level `var` declarations. Mutable global state makes code harder to test and reason about.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidHardcodedCredentials,Avoid hardcoded credentials,Replace hardcoded credential string literals with `os.Getenv("VAR_NAME")` calls.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidInitFunction,Avoid init functions,Find `func init()` declarations. Init functions make testing harder and have implicit ordering dependencies.,1,,,,Style,Code quality,Go,,,,Code style and conventions,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidLockInLoop,Avoid lock in loop,Find `Lock()` or `RLock()` calls inside for/range loops. Acquiring locks in tight loops can cause contention; consider locking once outside the loop.,1,,,,Performance,Code quality,Go,,,,Performance optimizations,Recipes for improving Go code quality,Recipes to search and transform Go.,,
go,github.com/moderneinc/recipes-go,,v0.6.0,org.openrewrite.golang.codequality.AvoidLogFatal,Avoid log.Fatal,"Replace `log.Fatal`, `log.Fatalf`, and `log.Fatalln` with their non-exiting equivalents (`log.Println`, `log.Printf`, `log.Println`).",1,,,,Error handling,Code quality,Go,,,,Error handling best practices,Recipes for improving Go code quality,Recipes to search and transform Go.,,
